327	마시다	To drink
328	치다	to attack, assault
329	혼자	Alone
330	나가다	To advance, proceed, go forward
331	이제	Now
332	교수	Teaching or instruction	敎授	teaching;  instruction
333	술	Alcohol
334	사랑	Love
335	전화	Telephone	電話	telephone
336	끝나다	To draw to a close or to end
337	맞다	Be right, correct; to match, be fitting for
338	아빠	Dad
339	걸리다	To be hung up or suspended
340	지키다	Protect, maintain
341	한번	Once	-番	once
342	커피	Coffee
343	가슴	Chest
344	길다	To be long
345	바라보다	Look at, watch ; to look forward to, hope for
346	알아보다	To investigate, examine, search
347	맛	Flavor
348	대부분	Most	大部分	most 
349	산업	Industry	産業	industry
350	매우	Very
351	오르다	Go up, climb, ascend
352	음식	Food	飮食	food
353	표정	Facial expression, look	表情	facial expression; look
354	꼭	For sure
355	일부	A part, a portion	一部	part
356	요즘	Recently, nowadays
357	계획	A plan or a project	計劃	plan	計劃	program	計劃	project	計劃	scheme
358	느낌	Touch, feel
359	얼마	How many, how much
360	고개	The nape of the neck
361	성격	Personality ; character, nature	性格	personality; character, nature
362	계속	Continuously	繼續	continuation
363	세기	Century	世紀	century
364	세우다	Stand up, erect
365	아내	Wife
366	가족	Family	家族	family
367	현재	The present time, now, at present	現在	present
368	세	Three	歲	age in years	世	a generation,age,epoch
369	발전	Development	發展	development	發電	generate electricity
370	차	A vehicle, train/auto car	車	a vehicle	次	order, sequence, degree	茶	tea	差	difference, margin
371	놀다	Play, amuse oneself
372	향하다	To face, look out on	向-	to face, look out on
373	관련	Relation or connection or reference	關聯	relation
374	형태	Form, shape	形態	form, shape
375	각	Each or every	各	each; every
376	도시	City	都市	city
377	작업	Work	作業	work
378	분위기	atmosphere,surroundings	雰圍氣	atmosphere, surroundings
379	그러하다	To be so or right
380	나이	Age
381	우선	First of all, before everything	于先	firstly, first of all; before everything
382	믿다	Believe
383	바꾸다	change,exchange
384	낳다	To give birth
385	바	A thing, what
386	정보	information,intelligence	情報	information	情報	intelligence
387	열리다	Open, be opened, be unlocked
388	좋아하다	To like, be fond of
389	그리다	Picture or draw a picture
390	만큼	Of that amount
391	배우다	To learn
392	시	Poetry, lines of verse	時	time	詩	poetry, lines of verse	市	city
393	역할	A part, a role	役割	part	役割	role
394	옆	Next to
395	행동	Action, behavior	行動	action
396	어	Oh, well, why
397	국내	Inside the country	國內	inside the country
398	비하다	Compare to	比-	to compare to
399	기관	An engine or a machine	機關	engine	氣管	trachea
400	입장	A position, situation	入場	admission	入場	entrance	立場	position	立場	situation	立場	standpoint
401	만하다	Be of the extent of
402	예	Example	例	example
403	아래	The bottom, the lower part
404	방식	A form, method, process	方式	form	方式	method	方式	system
405	영향	Influence, consequences	影響	effect	影響	influence
406	그럼	Certainly or of course.
407	나서다	Come out, come forth
408	흐르다	Flow, stream
409	저	Uh, well, …
410	깊다	Deep
411	배	A boat (boating)	倍	times, ~-fold
412	내	Inside	內	inside
413	모양	A shape, form	模樣	figure
414	산	A mountain	山	a mountain
415	새	New
416	하지만	But, nevertheless
417	조건	condition,stipulation	條件	condition, stipulation
418	문	Door	門	door
419	꽃	Flower
420	단계	A step, phase	段階	gradation
421	올리다	Raise, lift up
422	그동안	During that time
423	교사	Instructor	敎師	instructor
424	갑자기	Suddenly
425	넘다	Cross or go across
426	지니다	Carry with, hold, possess
427	바람	Wind
428	잘하다	To do well
429	마을	Town
430	어리다	To be very young, juvenile
431	대표	Representative	代表	representation
432	가능성	Possibility	可能性	likelihood	可能性	possibility	可能性	potentiality
433	방향	Direction	芳香	aroma	方向	course	方向	direction	芳香	fragrance	芳香	perfume	方向	way
434	대회	A great meeting	大會	a great meeting
435	목소리	Voice
436	노래	Song
437	바다	Sea
438	힘들다	To be hard, difficult
439	공부	Study	工夫	study
440	움직이다	To move, stir
441	의원	A member	議員	a member
442	노력	Effort	勞力	effort	努力	exertion
443	전혀	entirely,utterly,completely	全-	entirely, utterly, completely
444	언니	Older sister
445	단체	A corps, a group	團體	organization
446	분	One part
447	알려지다	To become known
448	가능하다	To be possible	可能-	to be possible
